instance,seed,n_assets,cardinality,risk_aversion,penalty_multiplier,penalty,selected_cardinality,cardinality_violation,feasible,base_objective,exact_constrained_objective,feasible_gap,qubo_energy
17,2043,10,3,0.5,3.0,3.6914201717581596,3,0,True,-0.29341244586579185,-0.29341244586579185,0.0,-0.2934124458657905
18,2044,10,3,0.5,0.0,0.0,10,7,False,-0.5707872399012625,-0.2731228674991659,,-0.5707872399012623
18,2044,10,3,0.5,0.001,0.001514210903086973,9,6,False,-0.5672505927317741,-0.2731228674991659,,-0.5127390002206431
18,2044,10,3,0.5,0.01,0.015142109030869731,5,2,False,-0.4136378277965677,-0.2731228674991659,,-0.3530693916730888
18,2044,10,3,0.5,0.03,0.04542632709260919,4,1,False,-0.3443244556147038,-0.2731228674991659,,-0.29889812852209463
18,2044,10,3,0.5,0.1,0.15142109030869733,3,0,True,-0.2731228674991659,-0.2731228674991659,0.0,-0.2731228674991657
18,2044,10,3,0.5,0.3,0.45426327092609187,3,0,True,-0.2731228674991659,-0.2731228674991659,0.0,-0.2731228674991657
18,2044,10,3,0.5,1.0,1.514210903086973,3,0,True,-0.2731228674991659,-0.2731228674991659,0.0,-0.2731228674991648
18,2044,10,3,0.5,3.0,4.5426327092609196,3,0,True,-0.2731228674991659,-0.2731228674991659,0.0,-0.27312286749916836
19,2045,10,3,0.5,0.0,0.0,9,6,False,-0.4363246171380559,-0.24939738563949912,,-0.4363246171380559
19,2045,10,3,0.5,0.001,0.001234704861112417,9,6,False,-0.4363246171380559,-0.24939738563949912,,-0.39187524213800884
19,2045,10,3,0.5,0.01,0.01234704861112417,5,2,False,-0.338545469984307,-0.24939738563949912,,-0.28915727553981035
19,2045,10,3,0.5,0.03,0.03704114583337251,4,1,False,-0.28649017639170293,-0.24939738563949912,,-0.2494490305583304
19,2045,10,3,0.5,0.1,0.1234704861112417,3,0,True,-0.24939738563949912,-0.24939738563949912,0.0,-0.2493973856394991
19,2045,10,3,0.5,0.3,0.3704114583337251,3,0,True,-0.24939738563949912,-0.24939738563949912,0.0,-0.24939738563949887
19,2045,10,3,0.5,1.0,1.234704861112417,3,0,True,-0.24939738563949912,-0.24939738563949912,0.0,-0.2493973856394982
19,2045,10,3,0.5,3.0,3.704114583337251,3,0,True,-0.24939738563949912,-0.24939738563949912,0.0,-0.24939738563949732
20,2046,10,3,0.5,0.0,0.0,10,7,False,-0.7467603265620044,-0.3414287763251609,,-0.7467603265620044
20,2046,10,3,0.5,0.001,0.00165155229601583,10,7,False,-0.7467603265620044,-0.3414287763251609,,-0.6658342640572288
20,2046,10,3,0.5,0.01,0.0165155229601583,5,2,False,-0.4845642065949882,-0.3414287763251609,,-0.41850211475435506
20,2046,10,3,0.5,0.03,0.0495465688804749,4,1,False,-0.40594111131499655,-0.3414287763251609,,-0.35639454243452173
20,2046,10,3,0.5,0.1,0.16515522960158302,3,0,True,-0.3414287763251609,-0.3414287763251609,0.0,-0.3414287763251609
20,2046,10,3,0.5,0.3,0.49546568880474895,3,0,True,-0.3414287763251609,-0.3414287763251609,0.0,-0.3414287763251611
20,2046,10,3,0.5,1.0,1.65155229601583,3,0,True,-0.3414287763251609,-0.3414287763251609,0.0,-0.3414287763251629
20,2046,10,3,0.5,3.0,4.95465688804749,3,0,True,-0.3414287763251609,-0.3414287763251609,0.0,-0.3414287763251629
21,2047,10,3,0.5,0.0,0.0,9,6,False,-0.7405868165240872,-0.34894323528248844,,-0.7405868165240872
21,2047,10,3,0.5,0.001,0.0015896151866830834,9,6,False,-0.7405868165240872,-0.34894323528248844,,-0.6833606698034963
21,2047,10,3,0.5,0.01,0.015896151866830834,5,2,False,-0.5513707007792171,-0.34894323528248844,,-0.4877860933118937
21,2047,10,3,0.5,0.03,0.0476884556004925,4,1,False,-0.44643255895662104,-0.34894323528248844,,-0.39874410335612864
