n_assets,cardinality,seed,solver,runtime_seconds,selected_cardinality,feasible,base_objective,gap_vs_exact
18,5,2026,top_k_mu,4.3583044316619635e-05,5,True,-0.5226299438018074,0.013909373439942918
18,5,2026,greedy,0.0018982500187121332,5,True,-0.5316359356369225,0.004903381604827839
18,5,2026,local_search,0.003429749980568886,5,True,-0.5316359356369225,0.004903381604827839
18,5,2026,annealing_qubo,1.0591810829937458,5,True,-0.46114070963610165,0.07539860760564865
18,5,2026,neal_qubo,0.003999041975475848,5,True,-0.44256911479639194,0.09397020244535836
18,5,2027,exact_constrained,0.20548925001639873,5,True,-0.5894990459959811,0.0
18,5,2027,top_k_mu,4.2666972149163485e-05,5,True,-0.5820467434284464,0.007452302567534708
18,5,2027,greedy,0.0018530410015955567,5,True,-0.5894990459959811,0.0
18,5,2027,local_search,0.003366208984516561,5,True,-0.5894990459959811,0.0
18,5,2027,annealing_qubo,1.0615074169472791,5,True,-0.5511918325007497,0.038307213495231474
18,5,2027,neal_qubo,0.003594416019041091,5,True,-0.47729596857858037,0.11220307741740077
18,5,2028,exact_constrained,0.20548687496921048,5,True,-0.4735622186559768,0.0
18,5,2028,top_k_mu,3.429100615903735e-05,5,True,-0.44434297121443367,0.02921924744154314
18,5,2028,greedy,0.001851084001827985,5,True,-0.4735622186559768,0.0
18,5,2028,local_search,0.0033628750243224204,5,True,-0.4735622186559768,0.0
18,5,2028,annealing_qubo,1.0622700419626199,5,True,-0.381269535340003,0.09229268331597379
18,5,2028,neal_qubo,0.0035533750196918845,5,True,-0.38396722327185745,0.08959499538411936
20,5,2026,exact_constrained,0.37462029099697247,5,True,-0.48064264104860577,0.0
20,5,2026,top_k_mu,5.562498699873686e-05,5,True,-0.4601970012507754,0.020445639797830373
20,5,2026,greedy,0.0020890419837087393,5,True,-0.47540432641614655,0.005238314632459218
20,5,2026,local_search,0.005572958034463227,5,True,-0.48064264104860577,0.0
20,5,2026,annealing_qubo,1.2796899169916287,5,True,-0.42064302648108065,0.05999961456752512
20,5,2026,neal_qubo,0.004228167003020644,5,True,-0.3475182632524645,0.13312437779614128
20,5,2027,exact_constrained,0.3734404999995604,5,True,-0.6522530558841827,0.0
20,5,2027,top_k_mu,4.779099253937602e-05,5,True,-0.6522530558841827,0.0
20,5,2027,greedy,0.0020977919921278954,5,True,-0.6522530558841827,0.0
20,5,2027,local_search,0.003855624992866069,5,True,-0.6522530558841827,0.0
20,5,2027,annealing_qubo,1.270107124990318,5,True,-0.5290366017187363,0.12321645416544635
20,5,2027,neal_qubo,0.0038589159958064556,5,True,-0.48039956627926744,0.17185348960491525
20,5,2028,exact_constrained,0.3721972499624826,5,True,-0.5344552382122872,0.0
20,5,2028,top_k_mu,4.595803329721093e-05,5,True,-0.5078264193269082,0.026628818885379046
20,5,2028,greedy,0.0021172090200707316,5,True,-0.5344552382122872,0.0
20,5,2028,local_search,0.003896709007676691,5,True,-0.5344552382122872,0.0
20,5,2028,annealing_qubo,1.2791604170342907,5,True,-0.36240224664404486,0.17205299156824239
20,5,2028,neal_qubo,0.0037892090040259063,5,True,-0.40508540111460223,0.12936983709768501
